"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,Frequency,"CPM (cost per 1,000 impressions) (USD)","Cost per results",Purchases,"Quality ranking","Engagement rate ranking","Conversion rate ranking","Purchase ROAS (return on ad spend)","Amount spent (USD)",Ends
2025-11-14,2025-11-20,6,active,ES-转化-用户诉求-ASC-视频,0,ABSOLUTE_OCPM,100,Daily,2025-08-14T04:00:33+0200,"7-day click, 1-day view, or 1-day engaged-view",96,actions:offsite_conversion.fb_pixel_add_to_cart,48354,61460,1.271043,4.568988,2.92510417,8,Average,Average,"Above average",1.390335,280.81,Ongoing
2025-11-14,2025-11-20,Clips,active,"ES-转化-商品系列-套镜-Catalog Ad set",0,ABSOLUTE_OCPM,50,Daily,2025-08-21T04:39:51+0200,"7-day click, 1-day view, or 1-day engaged-view",36,actions:offsite_conversion.fb_pixel_purchase,39076,104247,2.667801,3.335827,9.65972222,36,Average,"Above average",Average,6.891014,347.75,Ongoing
2025-11-14,2025-11-20,爆款系列,active,ES-转化-商品系列-爆款,0,ABSOLUTE_OCPM,300,Daily,0,"7-day click, 1-day view, or 1-day engaged-view",,,2952,4608,1.560976,2.65191,,,Average,Average,Average,,12.22,Ongoing
2025-11-14,2025-11-20,ASC-VK,active,转化-品宣-博主-ASC,0,ABSOLUTE_OCPM,200,Daily,2025-04-27T07:35:07+0200,"7-day click or 1-day view",1,actions:offsite_conversion.fb_pixel_purchase,5205,7192,1.381748,8.559511,61.56,1,"Below average - Bottom 35% of ads","Above average",Average,2.526641,61.56,Ongoing
2025-11-14,2025-11-20,混搭1,active,组2-混合,0,ABSOLUTE_OCPM,70,Daily,2025-06-24T11:03:41+0200,"7-day click, 1-day view, or 1-day engaged-view",70,actions:offsite_conversion.fb_pixel_add_to_cart,32275,42886,1.328768,4.278786,2.62142857,9,Average,"Above average","Above average",2.308992,183.5,Ongoing
2025-11-14,2025-11-20,混搭1,active,组2-混合,0,ABSOLUTE_OCPM,70,Daily,2025-06-24T11:03:41+0200,"7-day click, 1-day view, or 1-day engaged-view",139,actions:offsite_conversion.fb_pixel_add_to_cart,39363,56791,1.442751,5.322498,2.17460432,11,-,-,-,1.445529,302.27,Ongoing
2025-11-14,2025-11-20,产品图,active,品宣-产品图,0,ABSOLUTE_OCPM,20,Daily,2025-06-30T04:47:25+0200,"7-day click or 1-day view",1811,actions:landing_page_view,49521,65965,1.332061,2.105662,0.07669796,3,Average,"Above average","Above average",,138.9,Ongoing
2025-11-14,2025-11-20,产品图,active,品宣-产品图,0,ABSOLUTE_OCPM,20,Daily,2025-06-30T04:47:25+0200,"7-day click or 1-day view",1,actions:landing_page_view,134,134,1,0.970149,0.13,,-,-,-,,0.13,Ongoing
2025-11-14,2025-11-20,产品图,active,品宣-产品图,0,ABSOLUTE_OCPM,20,Daily,2025-06-30T04:47:25+0200,"7-day click or 1-day view",,,54,55,1.018519,1.636364,,,-,-,-,,0.09,Ongoing
2025-11-14,2025-11-20,图,active,促销季,0,ABSOLUTE_OCPM,50,Daily,2025-07-24T04:51:26+0200,"7-day click, 1-day view, or 1-day engaged-view",24,actions:offsite_conversion.fb_pixel_purchase,31980,55621,1.739243,3.881448,8.99541667,24,Average,"Above average",Average,5.498819,215.89,Ongoing
2025-11-14,2025-11-20,PGC1,active,品宣-PGC1,0,ABSOLUTE_OCPM,200,Daily,2025-09-24T07:16:12+0200,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_add_to_cart,2066,2231,1.079864,4.074406,9.09,,-,-,-,,9.09,Ongoing
